Year, Month, Intel, Google, Yahoo
1900, Jan, 261, 412, 257
1900, Feb, 426, 572, 228
1900, Mar, 187, 500, 150
1900, Apr, 954, 255, 174
1900, May, 911, 568, 234
1900, Jun, 190, 289, 429
1900, Jul, 735, 942, 307
1900, Aug, 669, 804, 294
1900, Sep, 146, 151, 802
1900, Oct, 915, 5, 201
1900, Nov, 941, 737, 297
1900, Dec, 909, 104, 271
1901, Jan, 174, 520, 10
1901, Feb, 842, 565, 341
1901, Mar, 758, 951, 119
1901, Apr, 59, 413, 600
1901, May, 289, 496, 51
1901, Jun, 147, 821, 727
1901, Jul, 64, 349, 474
1901, Aug, 6, 169, 24
1901, Sep, 741, 634, 376
1901, Oct, 719, 936, 257
1901, Nov, 545, 496, 453
1901, Dec, 641, 100, 593
1902, Jan, 108, 482, 346
1902, Feb, 560, 96, 674
1902, Mar, 362, 298, 576
1902, Apr, 632, 908, 432
1902, May, 681, 296, 239
1902, Jun, 763, 791, 360
1902, Jul, 385, 579, 945
1902, Aug, 360, 276, 508
1902, Sep, 125, 759, 891
1902, Oct, 797, 556, 870
1902, Nov, 987, 256, 893
1902, Dec, 736, 543, 31
1903, Jan, 574, 805, 215
1903, Feb, 355, 365, 988
1903, Mar, 833, 499, 909
1903, Apr, 482, 363, 942
1903, May, 30, 5, 140
1903, Jun, 349, 110, 152
1903, Jul, 950, 221, 107
1903, Aug, 882, 969, 298
1903, Sep, 605, 777, 682
1903, Oct, 923, 720, 715
1903, Nov, 735, 934, 569
1903, Dec, 244, 496, 666
1904, Jan, 622, 318, 266
1904, Feb, 395, 345, 561
1904, Mar, 550, 646, 236
1904, Apr, 863, 645, 471
1904, May, 187, 79, 940
1904, Jun, 376, 857, 821
1904, Jul, 624, 77, 617
1904, Aug, 400, 715, 964
1904, Sep, 31, 878, 313
1904, Oct, 607, 229, 551
1904, Nov, 284, 448, 81
1904, Dec, 389, 39, 83
1905, Jan, 827, 55, 995
1905, Feb, 143, 293, 266
1905, Mar, 955, 24, 888
1905, Apr, 321, 317, 944
1905, May, 693, 665, 426
1905, Jun, 122, 362, 822
1905, Jul, 720, 364, 869
1905, Aug, 810, 303, 769
1905, Sep, 977, 434, 151
1905, Oct, 707, 579, 912
1905, Nov, 512, 957, 75
1905, Dec, 184, 15, 305
1906, Jan, 796, 45, 748
1906, Feb, 160, 60, 675
1906, Mar, 715, 604, 735
1906, Apr, 520, 796, 819
1906, May, 432, 171, 163
1906, Jun, 856, 581, 228
1906, Jul, 367, 552, 238
1906, Aug, 93, 187, 913
1906, Sep, 869, 604, 281
1906, Oct, 843, 502, 524
1906, Nov, 742, 276, 328
1906, Dec, 395, 705, 863
1907, Jan, 856, 947, 225
1907, Feb, 972, 775, 471
1907, Mar, 755, 640, 491
1907, Apr, 795, 330, 721
1907, May, 383, 69, 757
1907, Jun, 567, 342, 812
1907, Jul, 447, 880, 733
1907, Aug, 976, 366, 283
1907, Sep, 216, 325, 169
1907, Oct, 389, 992, 663
1907, Nov, 111, 476, 926
1907, Dec, 303, 276, 293
1908, Jan, 822, 871, 920
1908, Feb, 571, 985, 598
1908, Mar, 340, 675, 93
1908, Apr, 642, 775, 743
1908, May, 359, 411, 837
1908, Jun, 202, 39, 696
